1,2,3,4,5,6,7
280270.1406,-9242.6437,15418.6022,2891.3231,-602.39,-0.024889,v
292535.8572,-9175.9827,16045.6657,2872.346,-1593.4317,0.026436,v
304265.1771,-12488.8943,8000.1924,2804.9832,-1845.6787,0.024056,v
315139.987,-12476.8217,8597.9687,2748.8179,-2206.5278,0.024897,v
325402.5225,-11917.4989,10549.2223,2676.0299,-2383.3569,-0.04676,v
364330.0465,-12758.2616,9431.6119,-805.5319,2527.3045,-0.076129,v
-18412.9386,-16780.2681,-57265.3329,2568.3945,1783.5949,-1.1232,v
-24546.9518,-16008.3671,-45591.7626,2501.9522,2561.9847,0.097057,v
-52479.0581,-6664.788,5017.9466,8213.3491,-1273.5865,-0.15659,v
-44173.7392,-8820.3804,-2599.4816,8376.5555,-1312.4917,0.36264,v
-82281.8028,-9710.2767,-9890.965,-21988.4891,-2087.1297,0.13364,v
42385.9797,-15255.574,-28547.7702,-13662.5643,-1229.9325,-0.18943,v
150100.0364,-17037.5037,-30229.205,-6215.4457,-1981.469,0.37906,v
218838.3478,-16216.063,-14660.2263,-4328.9126,-892.0871,0.43333,v
247731.7911,-8742.5778,-87111.6685,2961.6157,4014.7029,-0.042556,v
226478.8221,-16663.8097,-56539.245,3143.5102,1588.6787,-0.092364,v
208929.8203,-17321.6294,-25299.6975,3239.9361,124.0762,-0.55138,v
203587.2646,-12217.7363,2635.5728,3207.6233,-549.5065,-1.0423,v
213648.4157,-7509.2497,17466.6853,3182.4807,-2308.3651,-0.099182,v
229854.4416,-8236.9932,16226.9971,3131.5661,-2199.7722,0.024679,v
245626.0403,-9623.5434,13262.3206,3099.2141,-2404.3619,-0.057224,v
271873.4011,-10127.1952,13046.6017,2878.0193,-2406.3481,-1.0604,v
67655.4251,-7442.092,10251.8929,4558.0886,-1878.6809,-0.064523,v
59354.3359,-11772.9896,-6908.3305,8224.209,496.4049,-0.4251,v
35283.1862,-14882.1101,-26231.8012,8264.0637,-593.3758,-0.65412,v
41271.974,-16862.5172,-45749.5004,8074.6905,237.9221,-0.72257,v
56743.9706,-16167.5512,-34641.4661,7934.0991,699.0051,0.020515,v
-549297.3663,-497.432,-8867.3917,6085.4709,221.8933,-0.2541,v
290924.2858,97215.9344,112619.3042,3149.0067,1531.4626,0.023906,v
276116.8272,37338.1589,76130.6184,2734.3683,8504.1424,-0.033862,v
262893.4143,-15352.9734,-5824.4604,3003.5755,1940.5057,-0.18332,v
251526.822,-17948.4807,-27786.9107,3145.7044,-82.745,-0.058303,v
241367.2156,-18031.2058,-32289.5353,3214.4154,-792.2248,-0.12255,v
231614.8799,-16925.6735,-18004.6345,3264.8284,-1199.9158,-0.054281,v
221707.3052,-14267.6347,-3931.0026,3323.3453,-1400.4895,0.4375,v
205791.1597,-10559.6187,8480.4466,3411.7482,-1761.8522,0.24229,v
347944.3362,11112.3276,44440.5846,2397.8126,3597.5771,0.0041802,v
-251234.7712,-1282.1174,10485.2505,-3608.5904,-1658.6137,-0.18599,v
-369126.2697,-8170.3371,-28759.1627,5479.6072,-579.2214,-0.62342,v
486718.1835,-17677.5108,1992.6758,-3753.9351,-3247.998,0.17633,v
461939.2414,-17053.8635,2753.722,-3450.5011,-3180.0371,0.06216,v
424876.8125,-14737.6533,6976.7258,-3396.7831,-2294.3187,0.018108,v
375859.6677,-13316.5774,8870.8386,-3559.3097,-2470.3163,-0.036966,v
334889.514,-15976.719,-1992.2944,-3403.5544,-1421.8922,-1.048,v
311971.9428,-17896.773,-16228.7797,-1796.9003,-1802.9573,0.84584,v
131510.6081,-11966.371,-1661.4701,-1409.1119,-1334.8133,-0.02303,v
77112.8201,-13301.0852,-12312.935,-1827.4928,-1887.7829,-0.024977,v
22739.6045,-9610.1806,-648.306,-3716.2299,-1813.569,-0.21589,v
-10833.233,-6618.4758,8039.3129,-1529.0907,-2468.512,-1.3023,v
222355.1281,-8790.6325,13990.4081,3145.8593,3016.4886,-0.139,v
197731.257,-16127.5073,-16098.2669,3389.5292,-1482.223,-0.10073,v
175157.356,-15564.3898,-14899.6423,3428.3381,-1867.6683,-0.054643,v
153606.7358,-13876.8607,-7963.9807,3435.9151,-2083.0455,-0.034332,v
132540.8744,-12408.2381,-3273.1989,3396.1482,-1795.5196,-0.030864,v
112770.1357,-11933.7268,-2896.7961,3339.8334,-1774.3059,-0.19768,v
405969.1838,27774.8944,48759.5378,-3884.7235,8582.7046,-0.04427,v
-69744.8524,-5091.2533,9177.5627,2578.4114,160.6743,0.0054421,v
-374461.738,-2201.6457,-1910.3709,7387.4964,21.2335,-0.036213,v
-49210.8629,-6124.1079,7259.8907,13771.4399,-1433.4168,-0.8785,v
147945.2495,-15133.8663,-15143.0629,9638.6361,-1558.7479,0.14698,v
142981.8632,-15240.4629,-16256.2306,4037.4686,-2359.2615,-1.0573,v
141944.3244,-13245.9782,-6180.3825,4622.1847,-1412.5054,-0.64367,v
144621.9624,-9428.8786,8449.1084,7904.8982,-1296.3004,0.059869,v
213163.5523,-17318.7881,-52004.1345,3232.1702,869.5026,-0.088166,v
191070.3663,-17699.8931,-47569.2534,3288.9811,436.0377,-0.034596,v
169044.3668,-15221.1555,-14061.6528,3290.4564,836.3596,-0.014509,v
147804.3387,-9616.5404,8097.5661,2286.3028,-2296.7444,0.078962,v
127226.5761,-7781.4872,12555.3258,4567.5397,-1141.8084,-0.20816,v
-316318.9812,-3389.1126,-1968.6388,7486.3353,-1472.5383,-0.29393,v
-138472.1468,-13772.6173,-40027.6209,-23408.7586,1079.0411,-0.21946,v
-78319.1189,-14165.5332,-35394.0928,-21778.275,1.7199,-0.011091,v
-206188.1373,-11767.8643,-32359.174,14127.4675,-1376.9629,-1.1781,v
-119945.4975,-12660.947,-28670.8014,2253.2226,-2156.0073,-0.38611,v
5139.6674,-12271.2674,-13946.5169,196.6901,-1507.162,0.32652,v
151573.3403,-9867.173,7323.4577,3373.5674,-524.8933,-0.089192,v
123484.3735,-13775.3759,-10292.7628,3373.2114,-1729.6818,-0.25593,v
102678.3785,-11524.5432,-2218.0267,3242.6625,-404.6318,-0.33716,v
91170.9194,-6357.2996,14963.3072,3269.7359,-2160.3832,-0.93425,v
87691.2253,-6580.4897,14124.2418,4707.0723,-2188.1865,0.72361,v
91993.4156,-7000.7869,13135.0385,12118.8706,-1903.9727,-0.73582,v
-180681.2176,-1912.5116,13104.6381,14667.4963,-1298.3133,-0.97184,v
-154514.1804,-9664.1661,-15976.1118,14082.1213,366.3556,-0.029249,v
-131724.7679,-14511.2994,-43722.0282,14069.3771,-553.2215,0.017384,v
-134513.6531,-5172.8901,4682.1824,14126.5642,-720.3537,-0.095961,v
-61128.398,-8473.5153,-2381.9317,13959.7817,-1861.182,-0.0080927,v
-24127.5702,-8900.3071,-1198.2281,13673.6619,-1964.7977,-0.92093,v
50810.8308,-10299.5977,-1066.7019,1280.8637,-2536.3614,0.1172,v
88911.2449,-16735.116,-36337.4861,3210.7299,418.8298,-0.10071,v
56882.9696,-11704.9449,-6780.742,3147.03,-121.8508,-0.02576,v
35811.2096,-6765.195,10535.9629,3068.4026,-2260.8237,-0.42189,v
45488.8228,-6240.628,12798.039,2857.5445,-2374.1099,-0.45005,v
-228312.3672,-3437.7728,4482.9297,14737.964,-1172.5516,-0.28274,v
-278424.8025,-4405.1318,-3109.508,14629.6281,-623.9316,-0.16806,v
22992.3226,-13253.9698,-17232.5126,11216.6678,-1365.9828,-0.67138,v
168100.2836,-8199.9575,13598.2654,7775.2642,-2230.3752,0.28843,v
173142.691,-8507.2556,12963.9649,7823.3992,-2205.0917,1.2698,v
173354.8056,-9219.0997,10808.2419,7820.7783,-1674.9801,-0.79367,v
174724.5628,-11758.6835,2482.9026,7775.2976,-1690.9014,-0.39203,v
179313.4919,-12009.028,1910.567,7690.9872,-1872.7613,-0.74465,v
283443.1308,-14274.622,629.5079,3041.4876,483.455,0.028977,v
255892.8005,-9895.5986,12946.017,3306.6098,-1842.4072,-0.053075,v
229113.2515,-12181.3973,4636.2011,3379.5698,-1745.9983,-0.12608,v
