1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61
0.84677,0,-0.08108,0.83333,0.91311,0,0.098901,0.71429,0.46828,0,-0.17241,0.83333,0.085905,0,0.063057,0,0,0.087604,0,0,0,0,0.83457,0.83246,0.82537,0.019953,-0.072546,0,-0.045239,0,0.6965,0.83457,-0.076335,0,0.74421,0.69444,-0.090592,0,0.70565,0.006574,0,-0.099528,0,0,0.71703,0.48371,0.6955,0.022728,0,0.60383,0.48225,0.031208,0,0.54249,0.00083955,0,0.051368,0,0,0.61126,v
0.91585,0,-0.19189,0.33333,0.97848,0,-0.043956,0.28571,0.28891,0,-0.17241,0.33333,0.084667,0,0.013685,0,0,-0.023588,0,0,0,0,0.29925,0.34665,0.24146,0.3661,-0.21489,0,0.070513,0,0.089551,0.1197,-0.064779,0,0.28862,0.11111,-0.085761,0,0.30528,0.036822,0,-0.25476,0,0,0.83878,0.0082619,0.014542,0.0038628,0,0.090627,0.012346,0.0064859,0,0.09968,0.0011246,0,0.076037,0,0,0.80513,v
0.58769,0,-0.033227,0.35972,0.97848,0,0.13187,0.42857,0.20281,0,-0.1494,0,0.68877,0,0.033249,0.065767,0,-0.20401,-0.05887,0,0,0.089384,0.34141,0.35392,0.30163,0.092171,-0.51642,0,0.057601,0.060507,0.11656,0.14737,-0.012797,0,0.21129,0.1294,-0.016026,0,0.2114,0.001104,0,-0.028307,0,0,0.34538,0.01414,0.019846,0.0017099,0,0.0504,0.014658,0.0023432,0,0.047502,0.00016995,0,0.012881,0,0,0.16717,v
0.20281,0.28871,-0.15087,1,0.20281,0.468,-0.021978,0.85714,0.20281,0,-0.11494,1,4.20E-32,0.10715,0.0044695,0,4.83E-32,4.45E-32,0,-0.072519,0,0,0.60671,0.61619,0.56758,0.10132,-3.09E-30,-0.20522,0.022326,0,0.3681,0.72805,-0.10326,0.19962,0.12958,1,-0.20229,0.43306,0.20281,0.022763,-0.054375,-0.044358,0.083352,0.15327,0.041133,0.13757,0.5341,0.0088718,0.073666,0.016955,1,0.032893,0.22468,0.041133,0.00035174,0.0037003,0.0019623,0.023698,0.018001,0.0016919,v
0.20281,0.18882,0.10493,1,0.20281,0.508,0.065934,0.85714,0.20281,0,0.011494,1,4.20E-32,0.12093,0.0013136,0,-6.90E-33,1.25E-31,0,0.0018558,0,0,0.6867,0.69139,0.65511,0.050263,1.95E-30,-0.15314,-0.001959,0,0.47156,0.82404,0.081285,0.14777,0.14667,1,0.14069,0.28323,0.20281,0.01101,0.024732,0.03085,0.035653,0.10024,0.041133,0.22391,0.6814,0.0055502,0.050048,0.021632,1,0.016129,0.1198,0.041133,8.45E-05,0.0009527,0.00096219,0.0097745,0.0095987,0.0016919,v
0.20281,0.6081,0.099364,0.68611,0.20281,0.512,0.065934,0.85714,0.20281,0,0.034483,0,4.20E-32,0.14634,0.00055902,0.57402,2.07E-32,-7.11E-32,2.33E-31,-0.02638,-0.76493,0.02525,0.6443,0.68053,0.57431,0.4455,-2.89E-30,-0.4035,0.019722,0.8426,0.41513,0.53048,0.072222,0.44651,0.13761,0.47075,0.091408,0.62583,0.13915,0.0098733,0.075427,0.029214,0.36978,0.32282,0.041133,0.17592,0.28544,0.0040178,0.2892,0.019173,0.2702,0.0062422,0.37882,0.019453,5.63E-05,0.0050629,0.00078588,0.24917,0.062448,0.0016919,v
0.20281,0.0065555,-0.094277,1,0.20281,0.052,-0.021978,0.85714,0.20281,0,-0.08046,1,4.20E-32,0.00062512,0.0043942,0,1.08E-33,5.56E-32,0,0.001936,0,0,0.62306,0.62335,0.61708,0.0097093,-5.87E-31,-0.0019894,-0.0055836,0,0.38821,0.74768,-0.066265,0.0046549,0.13307,1,-0.1264,0.0098333,0.20281,0.0088881,-0.0007715,-0.027718,4.30E-05,0.0034802,0.041133,0.15004,0.55778,0.0034113,5.96E-05,0.017707,1,0.012112,0.0001742,0.041133,4.97E-05,1.32E-06,0.00072253,6.62E-08,1.40E-05,0.0016919,v
0.20281,0.019597,-0.079491,1,0.20281,0.111,-0.021978,0.85714,0.20281,0,-0.068966,1,4.20E-32,0.0024985,0.0026967,0,0,-6.11E-32,0,0.00301,0,0,0.61322,0.61403,0.60606,0.010814,-1.83E-31,-0.004614,0.0038366,0,0.37604,0.73587,-0.05499,0.013696,0.13097,1,-0.10658,0.029396,0.20281,0.0063189,-0.0019446,-0.023371,0.00038405,0.010404,0.041133,0.14073,0.54019,0.0027269,0.00023537,0.017149,1,0.0099971,0.00070974,0.041133,3.31E-05,3.34E-06,0.00059638,1.51E-06,5.69E-05,0.0016919,v
0.20281,0.29304,-0.085056,1,0.20281,0.417,-0.032967,0.85714,0.20281,0,-0.068966,1,4.20E-32,0.12325,0.001328,0,0,7.28E-32,0,0.03024,0,0,0.59308,0.60396,0.55193,0.11528,-1.56E-30,-0.22265,-0.0075714,0,0.35175,0.7117,-0.056907,0.19807,0.12667,1,-0.11404,0.43956,0.20281,0.0072345,-0.031114,-0.025007,0.085873,0.15557,0.041133,0.12596,0.51105,0.0022372,0.077492,0.016224,1,0.0086789,0.24706,0.041133,2.52E-05,0.0011027,0.00051775,0.030564,0.019794,0.0016919,v
0.20281,0.28375,0.047059,0.93333,0.20281,0.314,0.098901,0.85714,0.20281,0,-0.068966,0,4.20E-32,0.063527,0.03497,0.18808,8.28E-32,-8.00E-32,1.28E-31,-0.15892,-0.16083,0.14642,0.56664,0.57822,0.53135,0.10395,-4.70E-32,-0.15156,0.074333,0.26431,0.32108,0.63463,0.030081,0.18324,0.12102,0.87111,0.058889,0.39725,0.18929,0.0022145,0.016669,0.013836,0.080514,0.15063,0.041133,0.10447,0.46022,0.0051816,0.056068,0.014775,0.97839,0.021993,0.19482,0.040669,0.00027687,0.0027063,0.0013142,0.016752,0.015718,0.0016919,v
0.60141,0,-0.1132,0.33333,0.60141,0,-0.032967,0.28571,0.60141,0,-0.068966,0.33333,1.87E-30,0,0.00012389,0,0,1.05E-30,0,0,0,0,0.13637,0.15489,0.1166,0.04546,-1.50E-31,0,0.00099779,0,0.018597,0.054548,-0.017414,0,0.086369,0.11111,-0.05059,0,0.20047,0.012813,0,-0.098687,0,0,0.36169,0.0003504,0.002995,0.00022723,0,0.0075243,0.012346,0.001855,0,0.040188,9.04E-05,0,0.0087576,0,0,0.13082,v
0.60141,0,0.026232,0.33333,0.60141,0,0.12088,0.28571,0.60141,0,-0.068966,0.33333,1.87E-30,0,0.056295,0,0,3.56E-32,0,0,0,0,0.15727,0.17523,0.13738,0.045488,2.37E-30,0,0.060991,0,0.024735,0.062909,0.0046541,0,0.099607,0.11111,0.011724,0,0.20047,0.00068813,0,0.02287,0,0,0.36169,0.00061788,0.0039771,0.00054237,0,0.0099919,0.012346,0.0033204,0,0.040188,0.00055515,0,0.015676,0,0,0.13082,v
