1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104
0.78587,0.43937,-0.16506,1,1,0.74426,0.38395,1,1,0,-0.49247,0,0.72968,0.48607,0.077135,0.65713,-0.59405,-0.047456,0.098048,0.26786,-0.41817,-0.2204,-0.48481,-0.023856,0.12559,0.22501,-0.6308,-0.19229,0.72373,0.70613,0.75945,0.23604,0.13045,-0.44686,-0.18955,0.5638,0.071887,-0.39491,-0.040567,0.37131,0.75617,1,-0.17618,0.43983,0.78716,1,-0.24811,0.61566,1,0.029252,-0.23399,-0.15522,0.22854,0.40901,0.66486,0.47508,0.80109,0.20924,0.52769,0.56804,0.44488,0.96092,0.19489,0.51225,0.59199,0.82394,0.67483,0.28011,1,0.72132,-7.81E-17,-1.16E-16,0.058732,-5.04E-17,0.069249,0,-9.25E-18,-0.045138,3.41E-16,-0.012733,0.57957,0.72223,0.49538,0.57574,0.54495,0.92157,0.55089,-0.13647,-0.47171,-0.27391,-0.93047,-0.46523,0.24042,0.64917,0.29013,0.42949,0.065207,0.32095,0.80077,-0.2594,0.24093,-0.059636,-0.59648,v
0.64101,0.26014,-0.19987,0.81163,1,0.60695,0.288,0.85714,1,0,-0.46316,0,0.41667,0.19533,0.06596,0.54934,-0.53622,-0.22933,0.41603,0.2799,-0.58917,-0.088226,-0.20963,-0.080558,0.3682,0.13783,-0.51512,-0.065081,0.55085,0.62776,0.00036482,0.26446,0.65109,-0.52988,0.34076,0.86543,0.28698,-0.31422,0.071384,0.55161,0.57303,0.8081,-0.2124,0.25928,0.63926,0.86173,-0.31896,0.38702,0.86601,0.056103,-0.21944,-0.20054,0.1048,0.2584,0.57863,0.91893,1,0.27589,0.46826,0.63565,0.65775,0.91688,0.19642,0.34746,0.50635,0.66249,0.42522,0.26297,0.81895,0.56921,1.99E-17,-4.19E-17,0.02751,0.34676,0.36108,0,-2.39E-17,-0.0076642,-2.61E-16,-0.039213,0.44733,0.51706,0.39691,0.44317,0.41638,0.53107,0.50444,-0.10101,-0.48734,-0.41071,-0.69976,-0.50927,0.19479,0.48283,0.41033,0.48279,0.091855,0.34139,0.49246,-0.040013,0.28163,-0.18276,-0.069466,v
0.79247,0.11733,-0.3306,0.7471,1,0.87705,0.78789,0.71429,0,0,-1,0.46667,0.86957,0.16998,0.39766,0.2481,-0.24883,0.51957,0.44981,0.085881,-0.16019,0.82156,-0.13109,0.64739,0.38648,0.096863,-0.087799,1,0.93022,0.87603,0.56243,0.41195,0.23911,0.56013,0.3447,0.55336,0.19002,0.38671,0.22128,0.29583,0.90143,0.69292,-0.32728,0.10893,0.7362,0.40276,-0.2679,0.088632,0.54363,0.084676,-0.090308,-0.22621,0.01176,0.079477,0.48785,0.45066,0.31408,0.35397,0.26513,0.60766,0.58492,0.52217,0.45695,0.35672,0.87774,0.84498,0.38357,0.63289,0.73892,0.9292,-3.61E-16,-1.60E-16,-0.049909,0.15727,0.046955,-7.62E-16,3.85E-17,0.0023186,0,-0.051754,0.7649,0.59191,0.7131,0.74023,0.75024,0.060339,0.66638,-0.64586,-0.54104,-0.55355,0.51583,-0.35697,0.65293,0.72049,0.57322,0.37931,0.33048,0.37284,0.32744,-0.19624,0.56821,-0.19434,-0.10771,t
0.7997,0.34902,-0.30049,0.6865,1,0.89942,0.499,0.57143,1,0,-0.70189,0.53333,0.81419,0.43833,0.19036,0.2469,-0.46194,0.18899,0.60648,0.29072,0.27749,1,-0.37816,0.15765,0.50301,0.36431,0.24366,0.84012,0.89688,0.94956,0.7741,0.32626,0.18822,0.88646,0.4065,0.61199,0.12881,0.87463,0.16068,0.29046,0.84276,0.61741,-0.28846,0.31422,0.72039,0.34203,-0.22503,0.24366,0.50698,0.070356,-0.24557,-0.20867,0.10466,0.23994,0.49963,0.44659,0.29501,0.27352,0.40816,0.61279,0.57634,0.48767,0.3511,0.54604,0.88009,0.84488,0.63151,0.44318,0.6818,0.89029,0.031955,-1.46E-16,0.049624,-1.04E-16,-0.14973,0,4.08E-16,0.018443,1.18E-16,0.063478,0.76232,0.85923,0.70262,0.72869,0.74391,0.02479,0.30373,-0.61372,-0.45875,-0.54669,0.52967,0.0057818,0.61802,0.65958,0.56124,0.39947,0.096642,0.32814,0.28497,-0.23092,0.29716,-0.092554,-0.085083,t
0.90126,0.21332,-0.28335,0.79361,1,0.90484,0.382,0.71429,1,0,-0.84042,0.66667,0.82858,0.26368,0.14641,0.25191,-0.44652,0.88799,0.018484,-0.051876,0.38556,-0.050351,-0.286,0.65534,0.015621,-0.044217,0.26522,-0.037472,0.91582,0.91059,0.042138,0.672,-0.2974,0.66583,-0.34012,0.71486,-0.29467,0.73125,-0.16921,0.49185,0.88473,0.73379,-0.27964,0.19744,0.83468,0.46021,-0.24697,0.17333,0.66503,0.062984,-0.14249,-0.22327,0.039363,0.16641,0.63893,0.68964,0.35339,0.31857,0.35357,0.61964,0.88396,0.58023,0.40614,0.4698,0.8839,0.93191,0.48338,0.39038,0.7831,0.94079,-0.031738,1.45E-16,-0.038911,0,0.043322,-1.05E-15,0,-0.12135,2.33E-16,-0.021531,0.77221,0.73428,0.69416,0.73775,0.7407,-0.0061139,0.36316,-0.71229,-0.73032,-0.76004,0.61535,-0.018254,0.70929,0.76621,0.75961,0.50877,0.18516,0.37228,0.3167,-0.51433,0.41563,-0.46166,-0.16849,t
0.86329,0.26251,-0.3231,0.7747,1,0.90347,1,0.57143,1,0,-1,0.6,0.84472,0.37273,0.54188,0.20486,-0.43107,0.13458,-0.097628,0.078712,0.26758,-0.60337,-0.33146,0.19293,-0.075127,0.15346,0.19735,-0.77903,0.869,0.86643,0.20678,0.36217,0.14701,0.35798,-0.17993,0.67094,0.10797,0.34316,-0.12643,0.30561,0.86054,0.73425,-0.32686,0.24906,0.81955,0.47374,-0.29698,0.22493,0.67175,0.088471,-0.21601,-0.26345,0.064395,0.2119,0.63329,0.70234,0.36222,0.46323,0.43934,0.68524,0.83331,0.55051,0.54666,0.54036,0.9048,0.90141,0.57563,0.73511,0.76208,0.86833,-6.60E-17,2.72E-17,0.12965,0.28751,0.81663,-1.39E-15,1.76E-17,-0.29456,0,-0.25066,0.71858,0.74436,0.65627,0.68744,0.68715,0.09075,0.44943,-0.6453,-0.65929,-0.73616,0.50316,-0.11975,0.64281,0.68802,0.73247,0.44588,0.13585,0.40383,0.35315,-0.38415,0.36058,-0.10622,-0.2216,t
0.89154,0.21597,-0.18872,0.74226,1,0.91363,1,0.71429,1,0,-1,0,0.88113,0.25855,0.60958,0.24645,-0.4361,0.64395,0.21584,-0.49268,-0.012985,-0.060682,-0.28524,1,0.18606,-0.84852,-0.0087486,-0.091145,0.90446,0.90069,0.41552,0.54427,-0.060039,0.021457,-0.20434,0.62455,-0.055208,0.021,-0.18668,0.3825,0.8883,0.69772,-0.18935,0.20322,0.83941,0.41441,-0.15837,0.16896,0.63337,0.028762,-0.098912,-0.15143,0.041534,0.17156,0.6436,0.60976,0.33615,0.52216,0.34285,0.56726,0.75923,0.53615,0.64667,0.44254,0.78606,0.92892,0.47914,0.77317,0.73425,0.91849,4.16E-16,-5.49E-18,-0.5258,6.70E-17,0.084596,-5.85E-16,2.12E-16,-0.74513,0,0.043808,0.75225,0.72316,0.64827,0.71328,0.7206,0.15203,0.50306,-0.68896,-0.41699,-0.66734,0.25796,-0.16885,0.69014,0.62236,0.66964,0.47276,0.17674,0.32533,0.95251,-0.4814,0.40089,0.045092,-0.26981,t
0.89726,0.22197,-1,0.71427,1,0.94295,1,0.71429,1,0,-1,0,0.80293,0.27381,0.76917,0.3905,-0.46023,-0.022758,0.30338,0.033938,-0.20505,-0.41348,-0.29571,-0.037897,0.31425,0.067567,-0.17896,-0.87816,0.72797,0.98387,0.059924,0.78622,0.11318,0.52546,0.41336,0.59071,0.1194,0.63609,0.50985,0.54734,0.71259,0.66919,-1,0.20818,0.842,0.4752,-1,0.20693,0.75959,1,-0.66705,-1,0.05433,0.21975,0.80725,0.83142,0.52738,1,0.53284,0.79845,0.8359,0.6792,1,0.55535,0.89339,0.92595,0.4931,0.93378,0.71822,0.78941,1.12E-16,0,-0.297,-2.70E-16,-0.12211,-2.36E-16,-3.18E-16,0.028718,-9.15E-17,0.02584,0.62801,0.63034,0.62832,0.58864,0.58168,-0.0037448,0.08423,-0.6146,-0.60591,-0.52507,0.40345,0.10014,0.61144,0.61879,0.53831,0.50943,0.17044,0.2011,0.41755,-0.49987,0.39533,-0.20464,-0.13377,t
0.86937,0.28906,-0.34126,0.72622,1,0.86337,0.47911,0.71429,0,0,-1,0,0.89812,0.33796,0.24869,0.28193,-0.48824,0.67964,0.25598,0.016036,0.29982,-0.25901,-0.36861,0.68059,0.23828,0.020169,0.24702,-0.26577,0.90601,0.94395,0.27743,0.68734,0.085587,0.54218,0.11917,0.75298,0.089289,0.68178,0.078147,0.55429,0.89916,0.68982,-0.34599,0.27486,0.82715,0.40018,-0.28265,0.22319,0.60959,0.094872,-0.24149,-0.26936,0.075058,0.22587,0.61737,0.70157,0.37307,0.34463,0.39969,0.66528,0.86594,0.58985,0.42309,0.51142,0.91385,0.91199,0.55242,0.50638,0.72165,0.93352,-3.43E-16,-1.39E-16,0.1532,0.14956,0.10795,-2.90E-16,1.95E-16,0.028661,1.12E-16,-0.047525,0.74381,0.78779,0.68376,0.7059,0.71499,0.04917,0.4322,-0.60648,-0.7051,-0.72322,0.55234,-0.029036,0.61423,0.75118,0.7215,0.44351,0.10585,0.61861,0.52878,-0.40499,0.31204,-0.77807,-0.17787,t
0.75276,0.17943,-0.27281,0.69478,1,0.86137,0.374,0.57143,0,0,-0.444,0.4,0.69884,0.21197,0.11547,0.23835,-0.35234,0.50788,0.59824,0.18908,0.084914,-0.20012,-0.18583,0.3057,0.45166,0.12833,0.050944,-0.12865,0.92779,0.96341,0.81752,0.43316,0.24324,0.49695,0.13893,0.76655,0.1777,0.39287,0.04928,0.41188,0.96654,0.69275,-0.29034,0.17909,0.75179,0.37545,-0.22159,0.13586,0.51761,0.062148,-0.12284,-0.19112,0.029645,0.12444,0.47445,0.46553,0.29271,0.18385,0.29381,0.58684,0.56056,0.45148,0.2202,0.36675,0.7864,0.79266,0.43228,0.34866,0.68894,0.92901,-0.19138,1.46E-17,-0.26967,0,-0.10541,-1.41E-16,6.69E-18,-0.019356,0,-0.042859,0.71227,0.66433,0.65375,0.68695,0.70054,0.34312,0.45973,-0.33021,-0.30484,-0.38165,0.25413,-0.37937,0.38134,0.55862,0.40256,0.42791,0.20157,0.21924,0.27317,-0.17563,0.43055,-0.17705,-0.057989,t
